title,location,postedOn,url
Senior Site Reliability Engineer - Observability and Telemetry Platform,3 Locations,Posted Yesterday,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Site-Reliability-Engineer---Observability-and-Telemetry-Platform_JR1986326
Senior DGX Cloud Software Engineer- Infrastructure Automation and Distributed Systems,5 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-DGX-Cloud-Software-Engineer--Infrastructure-Automation-and-Distributed-Systems_JR1988162
Global Sourcing Analyst,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Global-Sourcing-Analyst_JR1989987
Speed Characterization Engineer,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Speed-Characterization-Engineer_JR1990348
Senior Silicon Circuits System Design Engineer,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Silicon-Circuits-System-Design-Engineer_JR1990293
"Silicon Performance, Power and Binning Tools Engineer","US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Silicon-Performance--Power-and-Binning-Tools-Engineer_JR1990296
Senior Technical Program Manager – Silicon Solutions,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Technical-Program-Manager---Silicon-Solutions_JR1990487
Senior System Level Product Engineer,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Level-Product-Engineer_JR1990234
Senior System Level Testability Lead,"US, CA, Santa Clara",Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-System-Level-Testability-Lead_JR1990244
Senior HPC Systems Engineer,3 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-HPC-Systems-Engineer_JR1986609
Senior Performance Engineer,3 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Performance-Engineer_JR1986325
Senior Linux Systems Engineer,3 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Linux-Systems-Engineer_JR1986224
"Senior Developer Technology Engineer, Public Sector",3 Locations,Posted 2 Days Ago,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Senior-Developer-Technology-Engineer--Public-Sector_JR1987080
